old_entity_id,canonical_entity_id,family_key,reason,confidence
complex.ecocyc.PHOSPHO-PHOR,complex.ecocyc.PHOR-CPLX,comp:458e2a9850f7,same family_key via deterministic merge,high
complex.ecocyc.PYRUVFORMLY-INACTIVE-CPLX,complex.ecocyc.PYRUVFORMLY-CPLX,comp:6f6d310f3118,same family_key via deterministic merge,high
protein.ecocyc.TAP-GLU,protein.ecocyc.TAP-GLN,comp:93890fa53945,same family_key via deterministic merge,high
protein.ecocyc.TAP-GLUME,protein.ecocyc.TAP-GLN,comp:93890fa53945,same family_key via deterministic merge,high
protein.ecocyc.TAR-GLU,protein.ecocyc.TAR-GLN,comp:58496e1e7efd,same family_key via deterministic merge,high
protein.ecocyc.TAR-GLUME,protein.ecocyc.TAR-GLN,comp:58496e1e7efd,same family_key via deterministic merge,high
protein.ecocyc.TRG-GLU,protein.ecocyc.TRG-GLN,comp:b709f4589c48,same family_key via deterministic merge,high
protein.ecocyc.TRG-GLUME,protein.ecocyc.TRG-GLN,comp:b709f4589c48,same family_key via deterministic merge,high
protein.ecocyc.TSR-GLU,protein.ecocyc.TSR-GLN,comp:f4390b2505e0,same family_key via deterministic merge,high
protein.ecocyc.TSR-GLUME,protein.ecocyc.TSR-GLN,comp:f4390b2505e0,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4229,protein.ecocyc.MONOMER0-2755,protein:name:insab transposase,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-2756,protein.ecocyc.MONOMER0-2755,protein:name:insab transposase,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4230,protein.ecocyc.MONOMER0-2755,protein:name:insab transposase,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-2757,protein.ecocyc.MONOMER0-2755,protein:name:insab transposase,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4231,protein.ecocyc.MONOMER0-2755,protein:name:insab transposase,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4585,protein.ecocyc.MONOMER0-4583,protein:name:modified rac prophage dna binding transcriptional repressor racr,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4586,protein.ecocyc.MONOMER0-4583,protein:name:modified rac prophage dna binding transcriptional repressor racr,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4584,protein.ecocyc.MONOMER0-4583,protein:name:modified rac prophage dna binding transcriptional repressor racr,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4588,protein.ecocyc.MONOMER0-4583,protein:name:modified rac prophage dna binding transcriptional repressor racr,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4587,protein.ecocyc.MONOMER0-4583,protein:name:modified rac prophage dna binding transcriptional repressor racr,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4248,protein.ecocyc.MONOMER0-2748,protein:name:is3 element transposase,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4246,protein.ecocyc.MONOMER0-2748,protein:name:is3 element transposase,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4249,protein.ecocyc.MONOMER0-2748,protein:name:is3 element transposase,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4247,protein.ecocyc.MONOMER0-2748,protein:name:is3 element transposase,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4259,protein.ecocyc.MONOMER0-2761,protein:name:is2 element transposase insab,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4255,protein.ecocyc.MONOMER0-2761,protein:name:is2 element transposase insab,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4258,protein.ecocyc.MONOMER0-2761,protein:name:is2 element transposase insab,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4256,protein.ecocyc.MONOMER0-2761,protein:name:is2 element transposase insab,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4257,protein.ecocyc.MONOMER0-2761,protein:name:is2 element transposase insab,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4580,protein.ecocyc.MONOMER0-4579,protein:name:modified dna binding transcriptional dual regulator rutr,same family_key via deterministic merge,high
protein.ecocyc.MONOMER0-4581,protein.ecocyc.MONOMER0-4579,protein:name:modified dna binding transcriptional dual regulator rutr,same family_key via deterministic merge,high
