Entry	Entry Name	Gene Names	Protein names	Organism	EC number	KEGG	GeneID
P0AAN3	HYPB_ECOLI	hypB b2727 JW2697	Hydrogenase maturation factor HypB (Hydrogenase isoenzymes nickel incorporation protein HypB)	Escherichia coli (strain K12)		ecj:JW2697;eco:b2727;ecoc:C3026_15005;	93779281;947194;
P0AAP3	FRMR_ECOLI	frmR yaiN b0357 JW0348	Transcriptional repressor FrmR	Escherichia coli (strain K12)		ecj:JW0348;eco:b0357;ecoc:C3026_01760;	86862911;93777098;944986;
P0AAR3	YBAK_ECOLI	ybaK b0481 JW0470	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (EC 4.2.-.-)	Escherichia coli (strain K12)	4.2.-.-	ecj:JW0470;eco:b0481;ecoc:C3026_02365;	75203147;947083;
P0AAT4	YBDG_ECOLI	ybdG mscM b0577 JW0566	Mechanosensing system component YbdG (Mechanosensitive channel homolog YbdG)	Escherichia coli (strain K12)		ecj:JW0566;eco:b0577;ecoc:C3026_02865;	93776911;946243;
P0AAT6	IOJAP_ECOLI	rsfS rsfA slm3 ybeB b0637 JW5090	Ribosomal silencing factor RsfS (Large ribosomal subunit assembly factor RsfS)	Escherichia coli (strain K12)		ecj:JW5090;eco:b0637;ecoc:C3026_03185;	86945520;93776845;945237;
P0AAW9	ACRZ_ECOLI	acrZ ybhT b0762 JW5102	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	Escherichia coli (strain K12)		ecj:JW5102;eco:b0762;ecoc:C3026_03865;	86863272;93776719;945365;
P0AAX8	YBIS_ECOLI	ybiS b0819 JW0803	Probable L,D-transpeptidase YbiS (EC 2.-.-.-)	Escherichia coli (strain K12)	2.-.-.-	ecj:JW0803;eco:b0819;ecoc:C3026_05150;	93776608;945441;
P0AAZ4	RARA_ECOLI	rarA mgsA ycaJ b0892 JW0875	Replication-associated recombination protein A	Escherichia coli (strain K12)		ecj:JW0875;eco:b0892;ecoc:C3026_05520;	75170967;945505;
P0AB06	MEPK_ECOLI	mepK ycbK b0926 JW0909	Peptidoglycan L,D-endopeptidase MepK (EC 3.4.-.-) (Murein endopeptidase K)	Escherichia coli (strain K12)	3.4.-.-	ecj:JW0909;eco:b0926;ecoc:C3026_05690;	93776488;945538;
P0AB38	LPOB_ECOLI	lpoB ycfM b1105 JW5157	Penicillin-binding protein activator LpoB (PBP activator LpoB) (Lipoprotein activator of PBP from the outer membrane B)	Escherichia coli (strain K12)		ecj:JW5157;eco:b1105;ecoc:C3026_06670;	93776303;948536;
