Entry	Entry Name	Gene Names	Protein names	Organism	EC number	KEGG	GeneID
P76062	RACR_ECOLI	racR ydaR b1356 JW1351	DNA-binding transcriptional repressor RacR (Prophage repressor RacR) (Rac prophage repressor)	Escherichia coli (strain K12)		ecj:JW1351;eco:b1356;ecoc:C3026_07935;	86946548;945899;
P76078	PAAB_ECOLI	paaB ynbF b1389 JW1384	1,2-phenylacetyl-CoA epoxidase, subunit B (1,2-phenylacetyl-CoA monooxygenase, subunit B)	Escherichia coli (strain K12)		ecj:JW1384;eco:b1389;ecoc:C3026_08110;	75203475;947595;
P76080	PAAD_ECOLI	paaD ydbQ b1391 JW5217	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D (1,2-phenylacetyl-CoA monooxygenase, subunit D)	Escherichia coli (strain K12)		ecj:JW5217;eco:b1391;ecoc:C3026_08120;	945959;
P76097	HGLS_ECOLI	ydcJ b1423 JW1419	2-oxoadipate dioxygenase/decarboxylase (EC 1.13.11.93) (2-hydroxyglutarate synthase)	Escherichia coli (strain K12)	1.13.11.93	ecj:JW1419;eco:b1423;ecoc:C3026_08285;	945991;
P76102	INSQ_ECOLI	insQ tnpB ydcM b1432 JW5228	Putative RNA-guided DNA endonuclease InsQ (EC 3.1.21.-)	Escherichia coli (strain K12)	3.1.21.-	ecj:JW5228;eco:b1432;	944942;
P76114	MCBR_ECOLI	mcbR yncC b1450 JW1445	HTH-type transcriptional regulator McbR	Escherichia coli (strain K12)		ecj:JW1445;eco:b1450;ecoc:C3026_08435;	946014;
P76128	DDPA_ECOLI	ddpA yddS b1487 JW5240	Probable D,D-dipeptide-binding periplasmic protein DdpA	Escherichia coli (strain K12)		ecj:JW5240;eco:b1487;ecoc:C3026_08615;	946052;
P76135	YDEO_ECOLI	ydeO b1499 JW1494	HTH-type transcriptional regulator YdeO	Escherichia coli (strain K12)		ecj:JW1494;eco:b1499;ecoc:C3026_08680;	945922;
P76142	LSRB_ECOLI	lsrB yneA b1516 JW1509	Autoinducer 2-binding protein LsrB (AI-2-binding protein LsrB)	Escherichia coli (strain K12)		ecj:JW1509;eco:b1516;ecoc:C3026_08765;	945418;
P76159	LYSQ_ECOLI	rrrQ arrQ ydfQ b1554 JW1546	Probable prophage lysozyme (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase) (Probable lysozyme from lambdoid prophage Qin)	Escherichia coli (strain K12)	3.2.1.17	ecj:JW1546;eco:b1554;ecoc:C3026_08970;	946100;
P76168	INTQ_ECOLI	intQ b1579 JW1571	Putative defective protein IntQ (Putative lambdoid prophage Qin defective integrase)	Escherichia coli (strain K12)		ecj:JW1571;	
P76173	YNFH_ECOLI	ynfH b1590 JW5261	Anaerobic dimethyl sulfoxide reductase chain YnfH (DMSO reductase anchor subunit YnfH)	Escherichia coli (strain K12)		ecj:JW5261;eco:b1590;ecoc:C3026_09160;	945822;
P76175	CLCB_ECOLI	clcB mriT ynfJ b1592 JW5263	Voltage-gated ClC-type chloride channel ClcB	Escherichia coli (strain K12)		ecj:JW5263;eco:b1592;ecoc:C3026_09170;	947179;
P76187	YDHF_ECOLI	ydhF b1647 JW1639	Oxidoreductase YdhF (EC 1.-.-.-)	Escherichia coli (strain K12)	1.-.-.-	ecj:JW1639;eco:b1647;ecoc:C3026_09455;	75057558;946960;
P76204	YDIV_ECOLI	ydiV cdgR b1707 JW1697	Putative anti-FlhC(2)FlhD(4) factor YdiV (c-di-GMP regulator CdgR)	Escherichia coli (strain K12)		ecj:JW1697;eco:b1707;ecoc:C3026_09775;	93775870;946217;
P76224	YNJC_ECOLI	ynjC b1755 JW5285	Inner membrane ABC transporter permease protein YnjC	Escherichia coli (strain K12)		ecj:JW5285;eco:b1755;ecoc:C3026_10020;	946273;
P76241	NIMR_ECOLI	nimR yeaM b1790 JW1779	HTH-type transcriptional regulator NimR (Regulator of nimT)	Escherichia coli (strain K12)		ecj:JW1779;eco:b1790;ecoc:C3026_10205;	946590;
P76254	CNTB_ECOLI	yeaX b1803 JW1792	Carnitine monooxygenase reductase subunit (EC 1.14.13.239) (Carnitine monooxygenase beta subunit)	Escherichia coli (strain K12)	1.14.13.239	ecj:JW1792;eco:b1803;ecoc:C3026_10275;	946329;
P76261	PDED_ECOLI	pdeD adrB yoaD b1815 JW1804	Probable cyclic di-GMP phosphodiesterase PdeD (EC 3.1.4.52)	Escherichia coli (strain K12)	3.1.4.52	ecj:JW1804;eco:b1815;ecoc:C3026_10335;	946336;
P76268	KDGR_ECOLI	kdgR yebP b1827 JW1816	HTH-type transcriptional regulator KdgR	Escherichia coli (strain K12)		ecj:JW1816;eco:b1827;ecoc:C3026_10415;	946129;
P76270	MSRC_ECOLI	msrC yebR b1832 JW1821	Free methionine-R-sulfoxide reductase (fRMsr) (EC 1.8.4.14)	Escherichia coli (strain K12)	1.8.4.14	ecj:JW1821;eco:b1832;ecoc:C3026_10440;	946086;
P76298	FLHA_ECOLI	flhA b1879 JW1868	Flagellar biosynthesis protein FlhA	Escherichia coli (strain K12)		ecj:JW1868;eco:b1879;ecoc:C3026_10690;	946390;
P76299	FLHB_ECOLI	flhB yecQ b1880 JW1869	Flagellar biosynthetic protein FlhB	Escherichia coli (strain K12)		ecj:JW1869;eco:b1880;ecoc:C3026_10695;	75202714;946391;
P76329	MPGP_ECOLI	yedP b1955 JW1938	Mannosyl-3-phosphoglycerate phosphatase (MPGP) (EC 3.1.3.70)	Escherichia coli (strain K12)	3.1.3.70	ecj:JW1938;eco:b1955;ecoc:C3026_11060;	946472;
P76345	C56H1_ECOLI	yodB b1974 JW5323	Cytochrome b561 homolog 1	Escherichia coli (strain K12)		ecj:JW5323;eco:b1974;ecoc:C3026_11150;	75172091;946491;
P76372	WZZB_ECOLI	wzzB cld rol wzz b2027 JW5836	Chain length determinant protein (Polysaccharide antigen chain regulator)	Escherichia coli (strain K12)		ecj:JW5836;eco:b2027;ecoc:C3026_11425;	946553;
P76393	YEGI_ECOLI	yegI b2070 JW2055	Protein kinase YegI (EC 2.7.-.-)	Escherichia coli (strain K12)	2.7.-.-	ecj:JW2055;eco:b2070;ecoc:C3026_11645;	947159;
P76446	PDEN_ECOLI	pdeN rtn b2176 JW2164	Probable cyclic di-GMP phosphodiesterase PdeN (EC 3.1.4.52)	Escherichia coli (strain K12)	3.1.4.52	ecj:JW2164;eco:b2176;ecoc:C3026_12175;	946695;
P76461	ATOB_ECOLI	atoB b2224 JW2218	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	Escherichia coli (strain K12)	2.3.1.9	ecj:JW2218;eco:b2224;ecoc:C3026_12430;	946727;
P76472	ARND_ECOLI	arnD pmrJ yfbH b2256 JW2250	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	Escherichia coli (strain K12)	3.5.1.n3	ecj:JW2250;eco:b2256;ecoc:C3026_12600;	93774918;945334;
P76498	YFCO_ECOLI	yfcO b2332 JW2329	Uncharacterized protein YfcO	Escherichia coli (strain K12)		ecj:JW2329;eco:b2332;ecoc:C3026_12990;	946620;
P76499	YFCP_ECOLI	yfcP b2333 JW2330	Uncharacterized fimbrial-like protein YfcP	Escherichia coli (strain K12)		ecj:JW2330;eco:b2333;ecoc:C3026_12995;	946788;
P76500	YFCQ_ECOLI	yfcQ b2334 JW2331	Uncharacterized fimbrial-like protein YfcQ	Escherichia coli (strain K12)		ecj:JW2331;eco:b2334;ecoc:C3026_13000;	946779;
P76501	YFCR_ECOLI	yfcR b2335 JW2332	Uncharacterized fimbrial-like protein YfcR	Escherichia coli (strain K12)		ecj:JW2332;eco:b2335;	946818;
P76502	SIXA_ECOLI	sixA yfcW b2340 JW2337	Phosphohistidine phosphatase SixA (EC 3.1.3.-) (RX6)	Escherichia coli (strain K12)	3.1.3.-	ecj:JW2337;eco:b2340;ecoc:C3026_13025;	93774836;946815;
P76506	MLAA_ECOLI	mlaA vacJ b2346 JW2343	Intermembrane phospholipid transport system lipoprotein MlaA	Escherichia coli (strain K12)		ecj:JW2343;eco:b2346;ecoc:C3026_13055;	945582;
P76540	EUTK_ECOLI	eutK yffI b2438 JW2431	Bacterial microcompartment shell protein EutK (Ethanolamine utilization protein EutK)	Escherichia coli (strain K12)		ecj:JW2431;eco:b2438;ecoc:C3026_13540;	75204292;946912;
P76542	INTZ_ECOLI	intZ b2442	Prophage integrase IntZ (Putative prophage CPZ-55 integrase)	Escherichia coli (strain K12)		eco:b2442;ecoc:C3026_13560;	946923;
P76551	EUTA_ECOLI	eutA yffT b2451 JW2435	Ethanolamine ammonia-lyase reactivase EutA	Escherichia coli (strain K12)		ecj:JW2435;eco:b2451;ecoc:C3026_13605;	946937;
P76552	EUTH_ECOLI	eutH yffU b2452 JW2436	Probable ethanolamine permease EutH (Ethanolamine utilization protein EutH)	Escherichia coli (strain K12)		ecj:JW2436;eco:b2452;ecoc:C3026_13610;	944979;
P76555	EUTQ_ECOLI	eutQ ypfC b2460 JW2444	Acetate kinase EutQ (EC 2.7.2.1) (Ethanolamine utilization protein EutQ)	Escherichia coli (strain K12)	2.7.2.1	ecj:JW2444;eco:b2460;ecoc:C3026_13650;	75204268;946935;
P76556	EUTP_ECOLI	eutP ypfD b2461 JW2445	Probable acetate kinase EutP (EC 2.7.2.1) (Ethanolamine utilization protein EutP)	Escherichia coli (strain K12)	2.7.2.1	ecj:JW2445;eco:b2461;ecoc:C3026_13655;	946933;
P76561	YPFH_ECOLI	ypfH b2473 JW5396	Esterase YpfH (EC 3.1.-.-)	Escherichia coli (strain K12)	3.1.-.-	ecj:JW5396;eco:b2473;ecoc:C3026_13725;	947571;
P76655	YQIG_ECOLI	yqiG b3046 JW5507	Putative outer membrane usher protein YqiG	Escherichia coli (strain K12)		ecj:JW5507;ecoc:C3026_16635;	
P76909	YNJD_ECOLI	ynjD b1756 JW5286	Uncharacterized ABC transporter ATP-binding protein YnjD	Escherichia coli (strain K12)		ecj:JW5286;eco:b1756;ecoc:C3026_10025;	944965;
P77156	YDCU_ECOLI	ydcU b1442 JW1437	Inner membrane ABC transporter permease protein YdcU	Escherichia coli (strain K12)		ecj:JW1437;eco:b1442;ecoc:C3026_08390;	945976;
P77170	PINQ_ECOLI	pinQ ydfL b1545 JW1538	Serine recombinase PinQ (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinQ) (Putative DNA-invertase from lambdoid prophage Qin) (Site-specific recombinase PinQ)	Escherichia coli (strain K12)	3.1.22.-; 6.5.1.-	ecj:JW1538;eco:b1545;ecoc:C3026_08920;	75205483;946088;
P77179	RSXE_ECOLI	rsxE rnfE ydgQ b1632 JW1624	Ion-translocating oxidoreductase complex subunit E (EC 7.-.-.-) (Rsx electron transport complex subunit E)	Escherichia coli (strain K12)	7.-.-.-	ecj:JW1624;eco:b1632;ecoc:C3026_09375;	947509;
P77183	PAOD_ECOLI	paoD yagQ b0283 JW0277	Molybdenum cofactor insertion chaperone PaoD	Escherichia coli (strain K12)		ecj:JW0277;eco:b0283;ecoc:C3026_01380;ecoc:C3026_24015;	945010;
P77196	YFCU_ECOLI	yfcU yfcT b4661 JW2334/JW2335 b2337 b2338	Putative outer membrane usher protein YfcU	Escherichia coli (strain K12)		ecj:JW2334;ecj:JW2335;	
P77213	GCS2_ECOLI	ybdK b0581 JW0570	Putative glutamate--cysteine ligase 2 (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase 2) (GCS 2) (Gamma-GCS 2)	Escherichia coli (strain K12)	6.3.2.2	ecj:JW0570;eco:b0581;ecoc:C3026_02885;	947246;
P77228	YDFJ_ECOLI	ydfJ b1543 JW1536 b4600	Putative transporter YdfJ	Escherichia coli (strain K12)		ecj:JW1536;ecoc:C3026_08910;	
P77231	CITG_ECOLI	citG ybdT b0613 JW0605	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase) (EC 2.4.2.52)	Escherichia coli (strain K12)	2.4.2.52	ecj:JW0605;eco:b0613;ecoc:C3026_03065;	946395;
P77249	SFMC_ECOLI	sfmC b0531 JW0520	Probable fimbrial chaperone SfmC	Escherichia coli (strain K12)		ecj:JW0520;eco:b0531;ecoc:C3026_02605;	945367;
P77265	MDLA_ECOLI	mdlA mdl b0448 JW0438	Multidrug resistance-like ATP-binding protein MdlA (EC 7.6.2.2)	Escherichia coli (strain K12)	7.6.2.2	ecj:JW0438;eco:b0448;ecoc:C3026_02195;	945092;
P77268	DDPD_ECOLI	ddpD yddP b1484 JW1479	Probable D,D-dipeptide transport ATP-binding protein DdpD	Escherichia coli (strain K12)		ecj:JW1479;eco:b1484;ecoc:C3026_08600;	946002;
P77269	YPHF_ECOLI	yphF b2548 JW2532	ABC transporter periplasmic-binding protein YphF	Escherichia coli (strain K12)		ecj:JW2532;eco:b2548;ecoc:C3026_14110;	947020;
P77288	YFCV_ECOLI	yfcV b2339 JW2336	Uncharacterized fimbrial-like protein YfcV	Escherichia coli (strain K12)		ecj:JW2336;eco:b2339;ecoc:C3026_13020;	949109;
P77293	GTRB_ECOLI	yfdH b2351 JW2347	Prophage bactoprenol glucosyl transferase homolog (EC 2.4.1.-) (Bactoprenol glucosyl transferase homolog from prophage CPS-53)	Escherichia coli (strain K12)	2.4.1.-	ecj:JW2347;eco:b2351;ecoc:C3026_13080;	949098;
P77308	DDPB_ECOLI	ddpB yddR b1486 JW1481	Probable D,D-dipeptide transport system permease protein DdpB	Escherichia coli (strain K12)		ecj:JW1481;eco:b1486;ecoc:C3026_08610;	75203196;946044;
P77315	YPHD_ECOLI	yphD b2546 JW2530	Probable ABC transporter permease protein YphD	Escherichia coli (strain K12)		ecj:JW2530;eco:b2546;ecoc:C3026_14100;	949063;
P77318	YDEN_ECOLI	ydeN b1498 JW5243	Uncharacterized sulfatase YdeN (EC 3.1.6.-)	Escherichia coli (strain K12)	3.1.6.-	ecj:JW5243;eco:b1498;ecoc:C3026_08675;	75171586;945957;
P77329	HYFG_ECOLI	hyfG b2487 JW2472	Hydrogenase-4 component G (EC 1.-.-.-)	Escherichia coli (strain K12)	1.-.-.-	ecj:JW2472;eco:b2487;ecoc:C3026_13800;	946964;
P77365	YAFY_ECOLI	yafY b0251 JW0240	Lipoprotein YafY	Escherichia coli (strain K12)		ecj:JW0240;eco:b0251;ecoc:C3026_01195;ecoc:C3026_23930;	63141108;944934;
P77368	YBCL_ECOLI	ybcL b0545 JW0533	UPF0098 protein YbcL	Escherichia coli (strain K12)		ecj:JW0533;eco:b0545;ecoc:C3026_02685;	945165;
P77375	YDHX_ECOLI	ydhX b1671 JW5271	Uncharacterized ferredoxin-like protein YdhX	Escherichia coli (strain K12)		ecj:JW5271;eco:b1671;ecoc:C3026_09580;	947308;
P77377	WZXC_ECOLI	wzxC wzx b2046 JW2031	Lipopolysaccharide biosynthesis protein WzxC	Escherichia coli (strain K12)		ecj:JW2031;eco:b2046;ecoc:C3026_11520;	946581;
P77390	CITC_ECOLI	citC ybeO b0618 JW0610	[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22) (Acetate:SH-citrate lyase ligase) (Citrate lyase synthetase)	Escherichia coli (strain K12)	6.2.1.22	ecj:JW0610;eco:b0618;ecoc:C3026_03090;	75170622;75205020;945231;
P77400	YBAT_ECOLI	ybaT b0486 JW0475	Inner membrane transport protein YbaT	Escherichia coli (strain K12)		ecj:JW0475;eco:b0486;ecoc:C3026_02390;	93776963;945363;
P77409	YDHU_ECOLI	ydhU b1670 JW1660	Putative cytochrome YdhU (Protein PhsC homolog)	Escherichia coli (strain K12)		ecj:JW1660;eco:b1670;ecoc:C3026_09575;	945608;
P77416	HYFD_ECOLI	hyfD b2484 JW2469	Hydrogenase-4 component D (EC 1.-.-.-)	Escherichia coli (strain K12)	1.-.-.-	ecj:JW2469;eco:b2484;ecoc:C3026_13785;	947290;
P77432	LSRK_ECOLI	lsrK ydeV b1511 JW1504	Autoinducer-2 kinase (AI-2 kinase) (EC 2.7.1.189)	Escherichia coli (strain K12)	2.7.1.189	ecj:JW1504;eco:b1511;ecoc:C3026_08740;	946069;
P77437	HYFF_ECOLI	hyfF b2486 JW2471	Hydrogenase-4 component F (EC 1.-.-.-)	Escherichia coli (strain K12)	1.-.-.-	ecj:JW2471;eco:b2486;ecoc:C3026_13795;	946962;
P77445	EUTE_ECOLI	eutE yffX b2455 JW2439	Acetaldehyde dehydrogenase (acetylating) EutE (EC 1.2.1.10) (Ethanolamine utilization protein EutE)	Escherichia coli (strain K12)	1.2.1.10	ecj:JW2439;eco:b2455;ecoc:C3026_13625;	946943;
P77463	DDPC_ECOLI	ddpC yddQ b1485 JW1480	Probable D,D-dipeptide transport system permease protein DdpC	Escherichia coli (strain K12)		ecj:JW1480;eco:b1485;ecoc:C3026_08605;	946028;
P77468	SFMD_ECOLI	sfmD b0532 JW0521	Outer membrane usher protein SfmD	Escherichia coli (strain K12)		ecj:JW0521;eco:b0532;ecoc:C3026_02610;	945160;
P77473	PDEB_ECOLI	pdeB ylaB b0457 JW5062	Probable cyclic di-GMP phosphodiesterase PdeB (EC 3.1.4.52)	Escherichia coli (strain K12)	3.1.4.52	ecj:JW5062;eco:b0457;ecoc:C3026_02240;	948951;
P77494	HOKB_ECOLI	hokB ydcB b4428 JW5225	Toxic protein HokB	Escherichia coli (strain K12)		ecj:JW5225;eco:b4428;ecoc:C3026_08270;	2847727;93775562;
P77509	YPHE_ECOLI	yphE b2547 JW2531	Uncharacterized ABC transporter ATP-binding protein YphE	Escherichia coli (strain K12)		ecj:JW2531;eco:b2547;ecoc:C3026_14105;	948990;
P77549	YFCJ_ECOLI	yfcJ b2322 JW2319	Uncharacterized MFS-type transporter YfcJ	Escherichia coli (strain K12)		ecj:JW2319;eco:b2322;ecoc:C3026_12940;	75202595;946791;
P77561	YDEP_ECOLI	ydeP b1501 JW1495	Protein YdeP	Escherichia coli (strain K12)		ecj:JW1495;eco:b1501;ecoc:C3026_08690;	946055;
P77579	PTFC1_ECOLI	fryC ypdG b2386 JW2383	Fructose-like permease IIC component 1 (PTS system fructose-like EIIC component 1)	Escherichia coli (strain K12)		ecj:JW2383;eco:b2386;ecoc:C3026_13265;	949111;
P77596	YAGF_ECOLI	yagF b0269 JW0262	D-xylonate dehydratase YagF (EC 4.2.1.82)	Escherichia coli (strain K12)	4.2.1.82	ecj:JW0262;eco:b0269;ecoc:C3026_01305;	944928;
P77599	YFCS_ECOLI	yfcS b2336 JW2333	Probable fimbrial chaperone YfcS	Escherichia coli (strain K12)		ecj:JW2333;eco:b2336;ecoc:C3026_13010;	946418;
P77622	DDPF_ECOLI	ddpF yddO b1483 JW1478	Probable D,D-dipeptide transport ATP-binding protein DdpF	Escherichia coli (strain K12)		ecj:JW1478;eco:b1483;ecoc:C3026_08595;	946020;
P77668	HYFI_ECOLI	hyfI b2489 JW5805	Hydrogenase-4 component I (EC 1.-.-.-)	Escherichia coli (strain K12)	1.-.-.-	ecj:JW5805;eco:b2489;ecoc:C3026_13810;	946966;
P77672	LSRC_ECOLI	lsrC ydeY b1514 JW1507	Autoinducer 2 import system permease protein LsrC (AI-2 import system permease protein LsrC)	Escherichia coli (strain K12)		ecj:JW1507;eco:b1514;ecoc:C3026_08755;	946105;
P77682	GTRA_ECOLI	yfdG b2350 JW2346	Prophage bactoprenol-linked glucose translocase homolog (Bactoprenol-linked glucose translocase homolog from prophage CPS-53)	Escherichia coli (strain K12)		ecj:JW2346;eco:b2350;ecoc:C3026_13075;	948821;
P77689	SUFD_ECOLI	sufD ynhC b1681 JW1671	Iron-sulfur cluster assembly protein SufD	Escherichia coli (strain K12)		ecj:JW1671;eco:b1681;ecoc:C3026_09630;	944878;
P77692	YKFI_ECOLI	ykfI b0245 JW0234	Toxin YkfI	Escherichia coli (strain K12)		ecj:JW0234;eco:b0245;ecoc:C3026_01165;ecoc:C3026_23900;	946726;
P77744	ABGR_ECOLI	abgR b1339 JW1333	HTH-type transcriptional regulator AbgR	Escherichia coli (strain K12)		ecj:JW1333;eco:b1339;ecoc:C3026_07840;	945831;
P77768	RPNB_ECOLI	rpnB yfcI b2305 JW2302	Recombination-promoting nuclease RpnB (EC 3.1.21.-)	Escherichia coli (strain K12)	3.1.21.-	ecj:JW2302;eco:b2305;ecoc:C3026_12855;	946787;
P77795	YDCT_ECOLI	ydcT b1441 JW1436	Uncharacterized ABC transporter ATP-binding protein YdcT	Escherichia coli (strain K12)		ecj:JW1436;eco:b1441;ecoc:C3026_08385;	946007;
P77804	YDGA_ECOLI	ydgA b1614 JW1606	Protein YdgA	Escherichia coli (strain K12)		ecj:JW1606;eco:b1614;ecoc:C3026_09285;	946172;
P77858	HYFC_ECOLI	hyfC b2483 JW2468	Hydrogenase-4 component C (EC 1.-.-.-)	Escherichia coli (strain K12)	1.-.-.-	ecj:JW2468;eco:b2483;ecoc:C3026_13780;	947492;
P78067	YNJE_ECOLI	ynjE b1757 JW5287	Thiosulfate sulfurtransferase YnjE (EC 2.8.1.1)	Escherichia coli (strain K12)	2.8.1.1	ecj:JW5287;eco:b1757;ecoc:C3026_10030;	946505;
Q46798	YGER_ECOLI	ygeR b2865 JW2833	Uncharacterized lipoprotein YgeR	Escherichia coli (strain K12)		ecj:JW2833;eco:b2865;ecoc:C3026_15720;	947352;
Q46801	XDHC_ECOLI	xdhC ygeU b2868 JW2836	Putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC	Escherichia coli (strain K12)		ecj:JW2836;eco:b2868;ecoc:C3026_15735;	93779134;945148;
Q46802	UACR_ECOLI	uacR ygeV b2869 JW2837	Putative uric acid sigma-54-dependent transcriptional regulator UacR (Uric acid regulator)	Escherichia coli (strain K12)		ecj:JW2837;eco:b2869;ecoc:C3026_15740;	947320;
Q46803	YGEW_ECOLI	ygeW b2870 JW5463	Putative carbamoyltransferase YgeW (EC 2.1.3.-) (UTCase)	Escherichia coli (strain K12)	2.1.3.-	ecj:JW5463;eco:b2870;	945826;
Q46811	YGFK_ECOLI	ygfK b2878 JW5923	Putative oxidoreductase YgfK (Putative oxidoreductase Fe-S subunit)	Escherichia coli (strain K12)		ecj:JW5923;eco:b2878;ecoc:C3026_15785;	949068;
Q46814	XDHD_ECOLI	xdhD ygfN b2881 JW2849	Probable hypoxanthine oxidase XdhD (EC 1.-.-.-)	Escherichia coli (strain K12)	1.-.-.-	ecj:JW2849;eco:b2881;ecoc:C3026_15800;	75172981;949079;
Q46820	UACF_ECOLI	uacF ygfT b2887 JW5469	Putative oxidoreductase UacF (Uric acid degradation formate-related element)	Escherichia coli (strain K12)		ecj:JW5469;eco:b2887;ecoc:C3026_15825;	949018;
Q46824	YGFX_ECOLI	ygfX cptA b2896 JW2864	Inner membrane protein YgfX (Toxin CptA)	Escherichia coli (strain K12)		ecj:JW2864;eco:b2896;ecoc:C3026_15880;	93779106;947379;
Q46836	PPPA_ECOLI	pppA yghH b2972 JW2939	Prepilin peptidase PppA	Escherichia coli (strain K12)		ecj:JW2939;eco:b2972;ecoc:C3026_16260;	947467;
Q46863	YGIS_ECOLI	ygiS b3020 JW2988	Probable deoxycholate-binding periplasmic protein YgiS	Escherichia coli (strain K12)		ecj:JW2988;eco:b3020;ecoc:C3026_16500;	947140;
Q46890	OTNC_ECOLI	otnC ygbL b2738 JW2708	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)	Escherichia coli (strain K12)	4.1.1.104	ecj:JW2708;eco:b2738;	93779268;947197;
Q46891	OTNI_ECOLI	otnI ygbM b2739 JW2709	2-oxo-tetronate isomerase (EC 5.3.1.35) (2-dehydrotetronate isomerase) (Glyoxylate-induced protein YgbM)	Escherichia coli (strain K12)	5.3.1.35	ecj:JW2709;eco:b2739;ecoc:C3026_15065;	947207;
Q46908	YGCR_ECOLI	ygcR b2770 JW5441	Putative electron transfer flavoprotein subunit YgcR	Escherichia coli (strain K12)		ecj:JW5441;eco:b2770;ecoc:C3026_15220;	93779233;947240;
Q46911	YGCU_ECOLI	ygcU ygcT ygcV b4463 JW5442	Uncharacterized FAD-linked oxidoreductase YgcU (EC 1.-.-.-)	Escherichia coli (strain K12)	1.-.-.-	ecj:JW5442;eco:b4463;ecoc:C3026_15230;	2847709;
Q46915	GUDX_ECOLI	gudX ygcY b2788 JW2759	Glucarate dehydratase-related protein (GDH-RP) (GlucDRP) (EC 4.2.1.-)	Escherichia coli (strain K12)	4.2.1.-	ecj:JW2759;eco:b2788;ecoc:C3026_15330;	947261;
Q46939	YQEF_ECOLI	yqeF b2844 JW5453	Probable acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	Escherichia coli (strain K12)	2.3.1.9	ecj:JW5453;eco:b2844;ecoc:C3026_15615;	947324;
Q46953	YPJF_ECOLI	ypjF b2646 JW2627	Toxin YpjF	Escherichia coli (strain K12)		ecj:JW2627;eco:b2646;ecoc:C3026_14620;	947131;
Q47005	NAC_ECOLI	nac b1988 JW1967	Nitrogen assimilation regulatory protein nac (Nitrogen assimilation control protein)	Escherichia coli (strain K12)		ecj:JW1967;eco:b1988;ecoc:C3026_11220;	946501;
Q47013	ELAD_ECOLI	elaD b2269 JW5840	Protease ElaD (EC 3.4.22.-) (Deubiquitinase) (Deubiquitinating enzyme) (DUB) (Deubiquitinating protease)	Escherichia coli (strain K12)	3.4.22.-	ecj:JW5840;eco:b2269;	946742;
Q47083	CBL_ECOLI	cbl b1987 JW1966	HTH-type transcriptional regulator cbl	Escherichia coli (strain K12)		ecj:JW1966;eco:b1987;ecoc:C3026_11215;	946502;
Q47129	FEAR_ECOLI	feaR maoB maoR ydbM b1384 JW1379	Transcriptional activator FeaR	Escherichia coli (strain K12)		ecj:JW1379;eco:b1384;ecoc:C3026_08085;	945941;
Q47142	HCAT_ECOLI	hcaT yfhS b2536 JW2520	Probable 3-phenylpropionic acid transporter	Escherichia coli (strain K12)		ecj:JW2520;eco:b2536;ecoc:C3026_14050;	75206229;947007;
Q47151	YAFL_ECOLI	yafL b0227 JW0217	Probable endopeptidase YafL (EC 3.4.-.-) (Uncharacterized lipoprotein YafL)	Escherichia coli (strain K12)	3.4.-.-	ecj:JW0217;eco:b0227;ecoc:C3026_01075;ecoc:C3026_23815;	944899;
Q47156	YAFN_ECOLI	yafN b0232 JW0222	Antitoxin YafN	Escherichia coli (strain K12)		ecj:JW0222;eco:b0232;ecoc:C3026_01100;ecoc:C3026_23840;	75056215;944920;
Q47537	TAUA_ECOLI	tauA ssiA yaiR b0365 JW0357	Taurine-binding periplasmic protein (Sulfate starvation-induced protein 1) (SSI1)	Escherichia coli (strain K12)		ecj:JW0357;eco:b0365;	945030;
Q47539	TAUC_ECOLI	tauC ssiC yaiJ b0367 JW0359	Taurine transport system permease protein TauC	Escherichia coli (strain K12)		ecj:JW0359;eco:b0367;	945026;
Q47622	SAPA_ECOLI	sapA b1294 JW1287	Probable ABC transporter periplasmic-binding protein SapA	Escherichia coli (strain K12)		ecj:JW1287;eco:b1294;ecoc:C3026_07595;	945873;
Q47689	MMUP_ECOLI	mmuP ykfD b0260 JW5027	Probable S-methylmethionine permease	Escherichia coli (strain K12)		ecj:JW5027;eco:b0260;ecoc:C3026_01255;	946284;
Q47706	UIDC_ECOLI	uidC gusC b1615 JW1607	Membrane-associated protein UidC	Escherichia coli (strain K12)		ecj:JW1607;eco:b1615;ecoc:C3026_09290;	944820;
Q57083	PERR_ECOLI	perR b0254 JW0244	HTH-type transcriptional regulator PerR (Peroxide resistance protein PerR)	Escherichia coli (strain K12)		ecj:JW0244;eco:b0254;ecoc:C3026_01215;ecoc:C3026_23950;	945417;
