ecocyc_id,entity_id,entity_type,mapping_method,source_file
G6092,gene.b0174,gene,ACCESSION-1,genes.dat
G6355,gene.b0648,gene,ACCESSION-1,genes.dat
EG11123,gene.b1255,gene,ACCESSION-1,genes.dat
EG10014,gene.b2470,gene,ACCESSION-1,genes.dat
EG11320,gene.b0413,gene,ACCESSION-1,genes.dat
EG11245,gene.b2930,gene,ACCESSION-1,genes.dat
EG11929,gene.b4046,gene,ACCESSION-1,genes.dat
EG12081,gene.b2826,gene,ACCESSION-1,genes.dat
G6139,gene.b0265,gene,ACCESSION-1,genes.dat
EG11401,gene.b0384,gene,ACCESSION-1,genes.dat
EG11065,gene.b1521,gene,ACCESSION-1,genes.dat
G7493,gene.b2874,gene,ACCESSION-1,genes.dat
G6365,gene.b0662,gene,ACCESSION-1,genes.dat
G7416,gene.b2735,gene,ACCESSION-1,genes.dat
EG12877,gene.b1154,gene,ACCESSION-1,genes.dat
G7922,gene.b4325,gene,ACCESSION-1,genes.dat
G6452,gene.b0867,gene,ACCESSION-1,genes.dat
EG11012,gene.b1252,gene,ACCESSION-1,genes.dat
G363,gene.b1078,gene,ACCESSION-1,genes.dat
G6724,gene.b1403,gene,ACCESSION-1,genes.dat
G7777,gene.b3558,gene,ACCESSION-1,genes.dat
G7738,gene.b3394,gene,ACCESSION-1,genes.dat
EG10700,gene.b1723,gene,ACCESSION-1,genes.dat
EG12049,gene.b2188,gene,ACCESSION-1,genes.dat
EG11904,gene.b3945,gene,ACCESSION-1,genes.dat
EG10870,gene.b4203,gene,ACCESSION-1,genes.dat
G6590,gene.b1146,gene,ACCESSION-1,genes.dat
G7381,gene.b2646,gene,ACCESSION-1,genes.dat
EG10211,gene.b1961,gene,ACCESSION-1,genes.dat
EG10837,gene.b3778,gene,ACCESSION-1,genes.dat
G7573,gene.b3023,gene,ACCESSION-1,genes.dat
EG10383,gene.b3870,gene,ACCESSION-1,genes.dat
G0-16680,gene.b4718,gene,ACCESSION-1,genes.dat
EG30020,gene.b1977,gene,ACCESSION-1,genes.dat
G7069,gene.b1984,gene,ACCESSION-1,genes.dat
EG11303,gene.b1576,gene,ACCESSION-1,genes.dat
G7961,gene.b1385,gene,ACCESSION-1,genes.dat
EG10928,gene.b0377,gene,ACCESSION-1,genes.dat
EG11057,gene.b1183,gene,ACCESSION-1,genes.dat
G7445,gene.b2787,gene,ACCESSION-1,genes.dat
EG10808,gene.b3642,gene,ACCESSION-1,genes.dat
EG11558,gene.b0037,gene,ACCESSION-1,genes.dat
EG10973,gene.b2708,gene,ACCESSION-1,genes.dat
EG11287,gene.b2732,gene,ACCESSION-1,genes.dat
EG12760,gene.b3127,gene,ACCESSION-1,genes.dat
EG11027,gene.b1263,gene,ACCESSION-1,genes.dat
G0-10590,gene.b4594,gene,ACCESSION-1,genes.dat
G7516,gene.b2919,gene,ACCESSION-1,genes.dat
EG12228,gene.b3491,gene,ACCESSION-1,genes.dat
EG11314,gene.b1131,gene,ACCESSION-1,genes.dat
G6561,gene.b1069,gene,ACCESSION-1,genes.dat
G6243,gene.b0442,gene,ACCESSION-1,genes.dat
EG12396,gene.b2067,gene,ACCESSION-1,genes.dat
EG11122,gene.b1254,gene,ACCESSION-1,genes.dat
G6680,gene.b1356,gene,ACCESSION-1,genes.dat
G6229,gene.b0380,gene,ACCESSION-1,genes.dat
EG10229,gene.b2321,gene,ACCESSION-1,genes.dat
EG11280,gene.b0075,gene,ACCESSION-1,genes.dat
G7680,gene.b3232,gene,ACCESSION-1,genes.dat
EG11162,gene.b2929,gene,ACCESSION-1,genes.dat
EG11206,gene.b4011,gene,ACCESSION-1,genes.dat
EG30008,gene.b3853,gene,ACCESSION-1,genes.dat
G7279,gene.b2449,gene,ACCESSION-1,genes.dat
M011,gene.b0348,gene,ACCESSION-1,genes.dat
G7887,gene.b4257,gene,ACCESSION-1,genes.dat
G6444,gene.b0846,gene,ACCESSION-1,genes.dat
EG12880,gene.b2604,gene,ACCESSION-1,genes.dat
G7841,gene.b4161,gene,ACCESSION-1,genes.dat
G6793,gene.b1503,gene,ACCESSION-1,genes.dat
EG11508,gene.b1480,gene,ACCESSION-1,genes.dat
G7337,gene.b2543,gene,ACCESSION-1,genes.dat
EG12302,gene.b1098,gene,ACCESSION-1,genes.dat
G0-8892,gene.b4599,gene,ACCESSION-1,genes.dat
G6929,gene.b1724,gene,ACCESSION-1,genes.dat
G7286,gene.b2456,gene,ACCESSION-1,genes.dat
EG11750,gene.b3411,gene,ACCESSION-1,genes.dat
G0-10453,gene.b4535,gene,ACCESSION-1,genes.dat
EG11396,gene.b3843,gene,ACCESSION-1,genes.dat
EG11980,gene.b2037,gene,ACCESSION-1,genes.dat
G6273,gene.b0502,gene,ACCESSION-1,genes.dat
G7250,gene.b2387,gene,ACCESSION-1,genes.dat
G0-16749,gene.b4755,gene,ACCESSION-1,genes.dat
EG10121,gene.b0776,gene,ACCESSION-1,genes.dat
EG10682,gene.b3360,gene,ACCESSION-1,genes.dat
EG12099,gene.b4147,gene,ACCESSION-1,genes.dat
G7523,gene.b2941,gene,ACCESSION-1,genes.dat
EG12140,gene.b1659,gene,ACCESSION-1,genes.dat
EG11072,gene.b2509,gene,ACCESSION-1,genes.dat
G7886,gene.b4256,gene,ACCESSION-1,genes.dat
G7256,gene.b2408,gene,ACCESSION-1,genes.dat
G0-10550,gene.b0322,gene,ACCESSION-1,genes.dat
G0-9541,gene.b4487,gene,ACCESSION-1,genes.dat
G6347,gene.b0621,gene,ACCESSION-1,genes.dat
EG10853,gene.b1427,gene,ACCESSION-1,genes.dat
EG10103,gene.b3736,gene,ACCESSION-1,genes.dat
G7165,gene.b2252,gene,ACCESSION-1,genes.dat
EG12411,gene.b2040,gene,ACCESSION-1,genes.dat
EG10279,gene.b3846,gene,ACCESSION-1,genes.dat
EG10886,gene.b3637,gene,ACCESSION-1,genes.dat
G7727,gene.b3375,gene,ACCESSION-1,genes.dat
EG11442,gene.b2905,gene,ACCESSION-1,genes.dat
EG30105,gene.b3761,gene,ACCESSION-1,genes.dat
G0-17039,gene.b4793,gene,ACCESSION-1,genes.dat
G0-10583,gene.b4586,gene,ACCESSION-1,genes.dat
G7500,gene.b2881,gene,ACCESSION-1,genes.dat
EG10002,gene.b0764,gene,ACCESSION-1,genes.dat
G6600,gene.b1160,gene,ACCESSION-1,genes.dat
G6127,gene.b0252,gene,ACCESSION-1,genes.dat
EG11479,gene.b3839,gene,ACCESSION-1,genes.dat
G0-17018,gene.b4772,gene,ACCESSION-1,genes.dat
G6846,gene.b1588,gene,ACCESSION-1,genes.dat
EG10723,gene.b4094,gene,ACCESSION-1,genes.dat
EG10387,gene.b3869,gene,ACCESSION-1,genes.dat
EG11341,gene.b3632,gene,ACCESSION-1,genes.dat
EG10143,gene.b1735,gene,ACCESSION-1,genes.dat
G7349,gene.b2583,gene,ACCESSION-1,genes.dat
G6627,gene.b1200,gene,ACCESSION-1,genes.dat
G7750,gene.b4475,gene,ACCESSION-1,genes.dat
EG11807,gene.b1847,gene,ACCESSION-1,genes.dat
EG11938,gene.b4061,gene,ACCESSION-1,genes.dat
G360,gene.b1075,gene,ACCESSION-1,genes.dat
EG10645,gene.b1466,gene,ACCESSION-1,genes.dat
G6729,gene.b1410,gene,ACCESSION-1,genes.dat
