source_id,relation_type,target_id,direction,evidence,source_database,source_record_id,notes
reaction.ecocyc.TRANS-RXN0-284,participates_in,ecocyc.2PHENDEG-PWY,directed,database,EcoCyc,2PHENDEG-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PHENDEHYD-RXN,participates_in,ecocyc.2PHENDEG-PWY,directed,database,EcoCyc,2PHENDEG-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-10817,participates_in,ecocyc.2PHENDEG-PWY,directed,database,EcoCyc,2PHENDEG-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PHOSPHAGLYPSYN-RXN,participates_in,ecocyc.PWY-5668,directed,database,EcoCyc,PWY-5668,EcoCyc pathway REACTION-LIST
reaction.ecocyc.CARDIOLIPSYN-RXN,participates_in,ecocyc.PWY-5668,directed,database,EcoCyc,PWY-5668,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PGPPHOSPHA-RXN,participates_in,ecocyc.PWY-5668,directed,database,EcoCyc,PWY-5668,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-15121,participates_in,ecocyc.PWY-5437,directed,database,EcoCyc,PWY-5437,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-15123,participates_in,ecocyc.PWY-5437,directed,database,EcoCyc,PWY-5437,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-15122,participates_in,ecocyc.PWY-5437,directed,database,EcoCyc,PWY-5437,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PROPKIN-RXN,participates_in,ecocyc.PWY-5437,directed,database,EcoCyc,PWY-5437,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PTAALT-RXN,participates_in,ecocyc.PWY-5437,directed,database,EcoCyc,PWY-5437,EcoCyc pathway REACTION-LIST
reaction.ecocyc.KETOBUTFORMLY-RXN,participates_in,ecocyc.PWY-5437,directed,database,EcoCyc,PWY-5437,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-16393,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9623,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9655,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.3.1.2.21-RXN,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9549,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9663,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.4.2.1.61-RXN,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9540,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9539,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9662,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9537,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9536,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9535,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9661,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9533,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9532,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9531,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9660,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9528,participates_in,ecocyc.PWY-5971,directed,database,EcoCyc,PWY-5971,EcoCyc pathway REACTION-LIST
