source_string_id,target_string_id,source_entity_ids,target_entity_ids,source_mapping_status,target_mapping_status,string_channel,channel_score,channel_score_norm,base_weight,edge_weight,combined_score,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining
511145.b3319,511145.b3342,protein.P60723,protein.P0A7S3,unique,unique,experimental,945,0.945,0.85,0.8032,999,158,0,468,975,945,772,459
511145.b3319,511145.b2620,protein.P60723,protein.P0A832,unique,unique,experimental,934,0.934,0.85,0.7939,988,0,0,195,72,934,0,799
511145.b3319,511145.b3703,protein.P60723,protein.P0A7P5,unique,unique,experimental,972,0.972,0.85,0.8262,991,0,0,0,642,972,0,253
511145.b3319,511145.b3314,protein.P60723,protein.P0A7V3,unique,unique,experimental,948,0.948,0.85,0.8058,999,682,240,410,999,948,772,918
511145.b3319,511145.b3294,protein.P60723,protein.P0AG44,unique,unique,experimental,949,0.949,0.85,0.8066,999,280,0,386,992,949,0,649
511145.b3319,511145.b2185,protein.P60723,protein.P68919,unique,unique,experimental,945,0.945,0.85,0.8032,996,0,0,0,879,945,0,543
511145.b3319,511145.b3296,protein.P60723,protein.P0A7V8,unique,unique,experimental,952,0.952,0.85,0.8092,999,297,0,519,996,952,772,708
511145.b3319,511145.b0093,protein.P60723,protein.P06136,unique,unique,experimental,800,0.800,0.85,0.6800,826,0,0,164,48,800,0,0
511145.b3319,511145.b3316,protein.P60723,protein.P0A7U3,unique,unique,experimental,945,0.945,0.85,0.8032,999,733,0,489,995,945,772,919
511145.b3319,511145.b1089,protein.P60723,protein.P0A7N4,unique,unique,experimental,945,0.945,0.85,0.8032,996,47,0,207,900,945,0,233
511145.b3319,511145.b3984,protein.P60723,protein.P0A7L0,unique,unique,experimental,948,0.948,0.85,0.8058,999,158,0,0,979,948,497,858
511145.b3319,511145.b3165,protein.P60723,protein.P0ADZ4,unique,unique,experimental,945,0.945,0.85,0.8032,999,45,0,231,930,945,772,457
511145.b3319,511145.b0953,protein.P60723,protein.P0AFW2,unique,unique,experimental,800,0.800,0.85,0.6800,800,0,0,0,0,800,0,0
511145.b3319,511145.b0098,protein.P60723,protein.P10408,unique,unique,experimental,806,0.806,0.85,0.6851,827,44,0,0,43,806,0,137
511145.b3319,511145.b2569,protein.P60723,protein.P60785,unique,unique,experimental,989,0.989,0.85,0.8407,993,0,0,203,147,989,0,200
511145.b3319,511145.b3203,protein.P60723,protein.P0AFX0,unique,unique,experimental,990,0.990,0.85,0.8415,990,0,0,0,0,990,0,0
511145.b3319,511145.b2594,protein.P60723,protein.P33643,unique,unique,experimental,805,0.805,0.85,0.6843,808,59,0,0,0,805,0,42
511145.b3319,511145.b3230,protein.P60723,protein.P0A7X3,unique,unique,experimental,945,0.945,0.85,0.8032,999,158,0,0,972,945,0,863
511145.b3319,511145.b3300,protein.P60723,protein.P0AGA2,unique,unique,experimental,939,0.939,0.85,0.7981,999,398,0,168,977,939,0,360
511145.b3319,511145.b3175,protein.P60723,protein.P0AG99,unique,unique,experimental,800,0.800,0.85,0.6800,841,0,0,0,241,800,0,0
511145.b3319,511145.b2567,protein.P60723,protein.P0A7Y0,unique,unique,experimental,732,0.732,0.85,0.6222,799,0,0,171,74,732,0,140
511145.b3319,511145.b3312,protein.P60723,protein.P0A7M6,unique,unique,experimental,945,0.945,0.85,0.8032,999,671,0,0,994,945,603,769
511145.b3319,511145.b4173,protein.P60723,protein.P25519,unique,unique,experimental,930,0.930,0.85,0.7905,937,0,0,0,52,930,0,143
511145.b3319,511145.b3986,protein.P60723,protein.P0A7K2,unique,unique,experimental,945,0.945,0.85,0.8032,999,158,0,330,963,945,0,905
511145.b3319,511145.b3185,protein.P60723,protein.P0A7L8,unique,unique,experimental,945,0.945,0.85,0.8032,999,47,0,190,953,945,0,857
511145.b3319,511145.b2606,protein.P60723,protein.P0A7K6,unique,unique,experimental,945,0.945,0.85,0.8032,999,0,0,0,965,945,0,858
511145.b3319,511145.b3985,protein.P60723,protein.P0A7J3,unique,unique,experimental,999,0.999,0.85,0.8491,999,158,0,0,979,999,743,687
511145.b3319,511145.b3306,protein.P60723,protein.P0A7W7,unique,unique,experimental,945,0.945,0.85,0.8032,999,409,0,390,996,945,772,717
511145.b3319,511145.b2891,protein.P60723,protein.P07012,unique,unique,experimental,981,0.981,0.85,0.8338,993,0,0,276,525,981,0,124
511145.b3319,511145.b2610,protein.P60723,protein.P0AGD7,unique,unique,experimental,945,0.945,0.85,0.8032,970,94,0,0,249,945,88,252
511145.b3319,511145.b1211,protein.P60723,protein.P0A7I0,unique,unique,experimental,932,0.932,0.85,0.7922,965,47,0,417,112,932,0,136
511145.b3319,511145.b0168,protein.P60723,protein.P0AE18,unique,unique,experimental,718,0.718,0.85,0.6103,961,158,0,235,806,718,0,65
511145.b3319,511145.b3980,protein.P60723,protein.P0CE48,unique,unique,experimental,802,0.802,0.85,0.6817,976,98,0,0,837,802,74,265
511145.b3319,511145.b3983,protein.P60723,protein.P0A7J7,unique,unique,experimental,999,0.999,0.85,0.8491,999,158,0,278,978,999,0,904
511145.b3319,511145.b3308,protein.P60723,protein.P62399,unique,unique,experimental,955,0.955,0.85,0.8117,999,452,0,183,974,955,200,919
511145.b3319,511145.b2516,protein.P60723,protein.P27434,unique,unique,experimental,800,0.800,0.85,0.6800,831,0,0,167,70,800,0,0
511145.b3319,511145.b3936,protein.P60723,protein.P0A7M9,unique,unique,experimental,932,0.932,0.85,0.7922,979,49,0,171,489,932,0,365
511145.b3319,511145.b0884,protein.P60723,protein.P69222,unique,unique,experimental,744,0.744,0.85,0.6324,995,158,0,220,876,744,769,271
511145.b3320,511145.b3649,protein.P60438,protein.P0A800,unique,unique,experimental,800,0.800,0.85,0.6800,853,0,0,0,294,800,0,46
511145.b3320,511145.b3317,protein.P60438,protein.P60422,unique,unique,experimental,945,0.945,0.85,0.8032,999,759,854,727,999,945,293,919
511145.b3320,511145.b3299,protein.P60438,protein.P0A7Q6,unique,unique,experimental,932,0.932,0.85,0.7922,997,372,0,0,936,932,0,288
511145.b3320,511145.b3400,protein.P60438,protein.P0ACG8,unique,unique,experimental,885,0.885,0.85,0.7522,885,0,0,0,0,885,0,0
511145.b3320,511145.b3556,protein.P60438,protein.P0A9X9,unique,unique,experimental,813,0.813,0.85,0.6910,836,0,0,0,147,813,0,50
