pathway_id	member_type	member_id
eco00566	compound	C05528
eco00566	compound	C11481
eco00566	compound	C11499
eco00566	compound	C11521
eco00566	compound	C11537
eco00566	compound	C13508
eco00566	compound	C14179
eco00566	compound	C19675
eco00566	compound	C19685
eco00566	compound	C20830
eco00566	compound	C20831
eco00566	compound	C21064
eco00566	compound	C21180
eco00566	compound	C21181
eco00566	compound	C21182
eco00566	compound	C22077
eco00566	compound	C22078
eco00566	compound	C22383
eco00566	compound	C22384
eco00566	compound	C22508
eco00566	compound	C22510
eco00566	compound	C22511
eco00566	compound	C23079
eco00566	compound	C23080
eco00566	compound	C23081
eco00566	compound	C23082
eco00566	compound	C23111
eco00566	compound	C23112
eco00566	compound	C23114
eco00566	compound	C23115
eco00190	compound	C00001
eco00190	compound	C00002
eco00190	compound	C00003
eco00190	compound	C00004
eco00190	compound	C00007
eco00190	compound	C00008
eco00190	compound	C00009
eco00190	compound	C00013
eco00190	compound	C00042
eco00190	compound	C00080
eco00190	compound	C00122
eco00190	compound	C00536
eco00710	compound	C00001
eco00710	compound	C00011
eco00710	compound	C00022
eco00710	compound	C00036
eco00710	compound	C00041
eco00710	compound	C00049
eco00710	compound	C00074
eco00710	compound	C00085
eco00710	compound	C00111
eco00710	compound	C00117
eco00710	compound	C00118
eco00710	compound	C00149
eco00710	compound	C00197
eco00710	compound	C00199
eco00710	compound	C00231
eco00710	compound	C00236
eco00710	compound	C00279
eco00710	compound	C00354
eco00710	compound	C00447
eco00710	compound	C01182
eco00710	compound	C05382
eco00720	compound	C00011
eco00720	compound	C00022
eco00720	compound	C00024
eco00720	compound	C00026
eco00720	compound	C00033
eco00720	compound	C00036
eco00720	compound	C00042
eco00720	compound	C00048
eco00720	compound	C00058
eco00720	compound	C00074
eco00720	compound	C00083
eco00720	compound	C00091
eco00720	compound	C00100
eco00720	compound	C00101
eco00720	compound	C00122
eco00720	compound	C00143
eco00720	compound	C00149
eco00720	compound	C00158
eco00720	compound	C00222
eco00720	compound	C00227
eco00720	compound	C00232
eco00720	compound	C00234
eco00720	compound	C00237
eco00720	compound	C00288
eco00720	compound	C00311
eco00720	compound	C00332
eco00720	compound	C00417
eco00720	compound	C00440
eco00720	compound	C00445
eco00720	compound	C00566
eco00720	compound	C00683
eco00720	compound	C00877
eco00720	compound	C00894
eco00720	compound	C00989
eco00720	compound	C01011
eco00720	compound	C01013
eco00720	compound	C01144
eco00720	compound	C01213
eco00720	compound	C04348
eco00720	compound	C05668
eco00720	compound	C06027
eco00720	compound	C06028
eco00720	compound	C11062
eco00720	compound	C18323
eco00680	compound	C00011
eco00680	compound	C00022
eco00680	compound	C00024
eco00680	compound	C00033
eco00680	compound	C00036
eco00680	compound	C00037
eco00680	compound	C00048
eco00680	compound	C00058
eco00680	compound	C00065
eco00680	compound	C00067
eco00680	compound	C00074
eco00680	compound	C00082
eco00680	compound	C00085
eco00680	compound	C00101
eco00680	compound	C00111
eco00680	compound	C00118
eco00680	compound	C00132
eco00680	compound	C00143
eco00680	compound	C00149
eco00680	compound	C00168
eco00680	compound	C00184
eco00680	compound	C00197
eco00680	compound	C00199
eco00680	compound	C00218
eco00680	compound	C00227
eco00680	compound	C00231
eco00680	compound	C00237
eco00680	compound	C00258
eco00680	compound	C00322
eco00680	compound	C00354
eco00680	compound	C00483
eco00680	compound	C00543
eco00680	compound	C00565
eco00680	compound	C00593
eco00680	compound	C00631
eco00680	compound	C00862
eco00680	compound	C00876
eco00680	compound	C01001
eco00680	compound	C01005
eco00680	compound	C01031
eco00680	compound	C01046
eco00680	compound	C01080
eco00680	compound	C01104
eco00680	compound	C01217
eco00680	compound	C01274
eco00680	compound	C01438
eco00680	compound	C03232
eco00680	compound	C03576
eco00680	compound	C03920
eco00680	compound	C04330
eco00680	compound	C04348
eco00680	compound	C04377
eco00680	compound	C04488
eco00680	compound	C04628
eco00680	compound	C04732
eco00680	compound	C04832
eco00680	compound	C05528
eco00680	compound	C06019
eco00680	compound	C11536
eco00680	compound	C11537
eco00680	compound	C14180
eco00680	compound	C16583
eco00680	compound	C16588
eco00680	compound	C16589
eco00680	compound	C16590
eco00680	compound	C16593
eco00680	compound	C16594
eco00680	compound	C16597
eco00680	compound	C16598
eco00680	compound	C16600
eco00680	compound	C18799
eco00680	compound	C18802
eco00680	compound	C19151
eco00680	compound	C19152
eco00680	compound	C19153
eco00680	compound	C19154
eco00680	compound	C19155
eco00680	compound	C19156
eco00680	compound	C20581
eco00680	compound	C20582
eco00680	compound	C20926
eco00680	compound	C20954
eco00680	compound	C21068
eco00680	compound	C21069
eco00680	compound	C21070
eco00680	compound	C21971
eco00680	compound	C22277
eco00680	compound	C22297
eco00910	compound	C00007
eco00910	compound	C00011
eco00910	compound	C00014
eco00910	compound	C00025
eco00910	compound	C00058
eco00910	compound	C00064
eco00910	compound	C00088
eco00910	compound	C00169
eco00910	compound	C00192
eco00910	compound	C00244
eco00910	compound	C00288
eco00910	compound	C00488
eco00910	compound	C00533
eco00910	compound	C00697
eco00910	compound	C00726
eco00910	compound	C00887
eco00910	compound	C01417
eco00910	compound	C01563
eco00910	compound	C05361
