ec_id	reaction_id
ec:2.3.1.61	R02570
ec:2.3.1.79	R06251
ec:2.3.1.79	R01556
ec:2.3.1.8	R00921
ec:2.3.1.8	R00230
ec:2.3.1.9	R00927
ec:2.3.1.9	R01177
ec:2.3.1.9	R00238
ec:2.3.2.2	R03916
ec:2.3.2.2	R03970
ec:2.3.2.2	R03971
ec:2.3.2.2	R01262
ec:2.3.2.2	R01687
ec:2.3.2.2	R03867
ec:2.3.2.2	R04159
ec:2.3.2.2	R04935
ec:2.3.2.6	R03813
ec:2.3.2.6	R11443
ec:2.3.2.6	R11444
ec:2.3.3.1	R00351
ec:2.3.3.13	R01213
ec:2.3.3.5	R00351
ec:2.3.3.5	R00931
ec:2.3.3.9	R00472
ec:2.4.1.1	R02111
ec:2.4.1.1	R06050
ec:2.4.1.1	R06185
ec:2.4.1.1	R01821
ec:2.4.1.12	R06023
ec:2.4.1.12	R02889
ec:2.4.1.15	R00836
ec:2.4.1.15	R02737
ec:2.4.1.15	R06043
ec:2.4.1.15	R06226
ec:2.4.1.18	R06186
ec:2.4.1.18	R02110
ec:2.4.1.180	R04477
ec:2.4.1.182	R04606
ec:2.4.1.21	R06049
ec:2.4.1.21	R02421
ec:2.4.1.227	R05032
ec:2.4.1.227	R06172
ec:2.4.1.227	R06173
ec:2.4.1.227	R06174
ec:2.4.1.227	R05662
ec:2.4.1.230	R07264
ec:2.4.1.25	R05196
ec:2.4.1.25	R06069
ec:2.4.1.325	R10303
ec:2.4.1.347	R11783
ec:2.4.1.352	R11959
ec:2.4.2.1	R02294
ec:2.4.2.1	R02295
ec:2.4.2.1	R01561
ec:2.4.2.1	R01863
ec:2.4.2.1	R02147
ec:2.4.2.1	R02297
ec:2.4.2.1	R08368
ec:2.4.2.1	R01969
ec:2.4.2.1	R02557
ec:2.4.2.1	R02748
ec:2.4.2.1	R10244
ec:2.4.2.10	R08231
ec:2.4.2.10	R01870
ec:2.4.2.14	R01072
ec:2.4.2.17	R01071
ec:2.4.2.18	R01073
ec:2.4.2.19	R03348
ec:2.4.2.2	R02298
ec:2.4.2.2	R01876
ec:2.4.2.2	R02296
ec:2.4.2.2	R02484
ec:2.4.2.2	R01570
ec:2.4.2.21	R04148
ec:2.4.2.22	R01229
ec:2.4.2.22	R02142
ec:2.4.2.28	R01402
ec:2.4.2.29	R10209
ec:2.4.2.3	R02484
ec:2.4.2.3	R08229
ec:2.4.2.3	R01876
ec:2.4.2.4	R01969
ec:2.4.2.4	R02484
ec:2.4.2.4	R02748
ec:2.4.2.4	R08222
ec:2.4.2.4	R08230
ec:2.4.2.4	R01570
ec:2.4.2.43	R12207
ec:2.4.2.43	R09781
ec:2.4.2.43	R09773
ec:2.4.2.43	R09774
ec:2.4.2.52	R09675
ec:2.4.2.53	R07661
ec:2.4.2.7	R04378
ec:2.4.2.7	R00190
ec:2.4.2.8	R01229
ec:2.4.2.8	R02142
ec:2.4.2.8	R08237
ec:2.4.2.8	R08238
ec:2.4.2.8	R08245
ec:2.4.2.8	R01132
ec:2.4.2.9	R00966
ec:2.4.99.12	R04658
ec:2.4.99.13	R05074
ec:2.4.99.13	R06285
ec:2.4.99.14	R09763
ec:2.4.99.14	R09764
ec:2.4.99.15	R09765
ec:2.4.99.15	R09766
ec:2.4.99.17	R10220
ec:2.4.99.23	R13003
ec:2.4.99.24	R13004
ec:2.4.99.25	R13005
ec:2.4.99.28	R04519
ec:2.4.99.28	R06177
ec:2.4.99.28	R06178
ec:2.4.99.28	R06179
ec:2.5.1.1	R01658
ec:2.5.1.10	R02003
ec:2.5.1.129	R11225
ec:2.5.1.141	R07411
ec:2.5.1.144	R03132
ec:2.5.1.15	R03066
ec:2.5.1.15	R03067
ec:2.5.1.154	R01492
ec:2.5.1.154	R12945
ec:2.5.1.16	R08359
ec:2.5.1.16	R01920
ec:2.5.1.17	R01492
ec:2.5.1.17	R05220
ec:2.5.1.17	R07268
ec:2.5.1.17	R12183
ec:2.5.1.17	R12184
ec:2.5.1.18	R07002
ec:2.5.1.18	R07003
ec:2.5.1.18	R07004
ec:2.5.1.18	R07023
ec:2.5.1.18	R07024
ec:2.5.1.18	R07025
ec:2.5.1.18	R07026
ec:2.5.1.18	R07069
ec:2.5.1.18	R07070
ec:2.5.1.18	R07083
ec:2.5.1.18	R07084
ec:2.5.1.18	R07091
ec:2.5.1.18	R07092
ec:2.5.1.18	R08280
ec:2.5.1.18	R09409
ec:2.5.1.18	R11905
ec:2.5.1.18	R03522
ec:2.5.1.18	R07093
ec:2.5.1.18	R07094
ec:2.5.1.18	R07100
ec:2.5.1.18	R07113
ec:2.5.1.18	R07116
ec:2.5.1.18	R08511
ec:2.5.1.18	R08512
ec:2.5.1.19	R03460
ec:2.5.1.25	R03019
ec:2.5.1.3	R11312
ec:2.5.1.3	R10712
ec:2.5.1.3	R03223
ec:2.5.1.31	R06447
ec:2.5.1.39	R05000
ec:2.5.1.39	R05615
ec:2.5.1.39	R05616
ec:2.5.1.39	R07273
ec:2.5.1.47	R03601
ec:2.5.1.47	R04859
ec:2.5.1.47	R07274
ec:2.5.1.47	R00897
ec:2.5.1.48	R00999
ec:2.5.1.48	R01288
ec:2.5.1.48	R02508
ec:2.5.1.48	R03217
ec:2.5.1.48	R04944
ec:2.5.1.48	R04945
ec:2.5.1.48	R04946
ec:2.5.1.48	R03260
ec:2.5.1.54	R01826
ec:2.5.1.55	R03254
ec:2.5.1.6	R04771
ec:2.5.1.6	R00177
ec:2.5.1.61	R00084
ec:2.5.1.7	R00660
ec:2.5.1.72	R04292
ec:2.5.1.74	R10757
ec:2.5.1.75	R01122
ec:2.5.1.78	R04457
ec:2.5.1.9	R00066
ec:2.5.1.90	R09248
ec:2.6.1.1	R00694
ec:2.6.1.1	R00734
ec:2.6.1.1	R00895
ec:2.6.1.1	R00896
ec:2.6.1.1	R02433
ec:2.6.1.1	R02619
ec:2.6.1.1	R05052
ec:2.6.1.1	R00355
ec:2.6.1.11	R02283
ec:2.6.1.16	R00768
ec:2.6.1.17	R04475
ec:2.6.1.19	R00908
ec:2.6.1.19	R01648
ec:2.6.1.2	R00258
ec:2.6.1.22	R04188
ec:2.6.1.42	R01214
